Summary
[Software Information]
Software Name:;LabSolutions RF
Version:;1,11
[Data Information]
Data is:;Modified
Sample Name
Sample ID
Option
Analyst
Date/Time:;12/03/2021 14:27:05
Comments
[Instrument Information]
Instrument Name:;RF-6000
Instrument Type:;RF-6000 Series
Model (S/N):;RF-6000 (A40245300193SA)

Parameter
[Measurement]
Spectrum Type:;Emission
EX Wavelength:;280,0 nm
EM Wavelength Start:;285,0 nm
EM Wavelength End:;450,0 nm
Data Interval:;1,0 nm
Scan Speed:;6000 nm/min
[Instrument]
EX Bandwidth:;10,0 nm
EM Bandwidth:;10,0 nm
Sensitivity:;Auto
[Attachment]
Attachment:;None
[Auto Print]
Auto Print:;No
Report File:;

3uM 3.fs2f - CorrectionData
Wavelength nm.;Intensity
285,0;152179,591
286,0;138765,302
287,0;127117,636
288,0;115517,912
289,0;105320,539
290,0;100153,248
291,0;97700,963
292,0;97975,975
293,0;101324,738
294,0;106348,974
295,0;113172,466
296,0;122378,523
297,0;131654,903
298,0;142403,627
299,0;153067,254
300,0;163738,820
301,0;176262,127
302,0;188060,472
303,0;199129,071
304,0;210701,969
305,0;224352,839
306,0;237088,714
307,0;249740,844
308,0;264147,127
309,0;277404,707
310,0;290651,477
311,0;305696,800
312,0;320844,097
313,0;335303,893
314,0;350984,256
315,0;365418,329
316,0;376713,463
317,0;392289,801
318,0;406430,436
319,0;416701,536
320,0;430033,537
321,0;442413,068
322,0;449477,642
323,0;462121,133
324,0;474016,818
325,0;480081,444
326,0;488152,400
327,0;497480,426
328,0;502311,594
329,0;506417,386
330,0;512996,290
331,0;515346,037
332,0;517073,524
333,0;519949,860
334,0;518927,009
335,0;518084,661
336,0;519076,160
337,0;514208,621
338,0;510336,813
339,0;507715,260
340,0;501520,868
341,0;496046,124
342,0;492453,644
343,0;485259,446
344,0;475861,827
345,0;469519,939
346,0;459900,658
347,0;450239,832
348,0;442472,118
349,0;433175,545
350,0;423377,320
351,0;415002,069
352,0;403431,184
353,0;392155,816
354,0;383695,538
355,0;372589,970
356,0;362031,258
357,0;352534,710
358,0;342020,066
359,0;330427,244
360,0;320195,619
361,0;309820,596
362,0;298980,736
363,0;289422,747
364,0;280301,978
365,0;270312,279
366,0;261712,986
367,0;252232,872
368,0;242264,649
369,0;233444,265
370,0;225158,885
371,0;216344,571
372,0;208782,277
373,0;200596,403
374,0;192303,626
375,0;184738,006
376,0;177697,569
377,0;170207,713
378,0;162899,863
379,0;156666,816
380,0;150648,318
381,0;144014,728
382,0;138189,525
383,0;131999,906
384,0;125536,793
385,0;120248,302
386,0;114789,698
387,0;109134,678
388,0;104449,164
389,0;99565,764
390,0;94935,421
391,0;90617,419
392,0;86326,427
393,0;82052,302
394,0;78308,690
395,0;74654,870
396,0;71187,633
397,0;67528,834
398,0;64038,627
399,0;60746,303
400,0;57715,611
401,0;54979,853
402,0;52071,891
403,0;49618,602
404,0;47472,497
405,0;45140,464
406,0;42851,246
407,0;41128,291
408,0;38951,889
409,0;37185,632
410,0;35639,244
411,0;33948,839
412,0;32346,274
413,0;30889,901
414,0;29326,174
415,0;28067,394
416,0;26799,084
417,0;25572,966
418,0;24438,652
419,0;23387,896
420,0;22262,773
421,0;21284,132
422,0;20390,678
423,0;19387,820
424,0;18489,438
425,0;17834,998
426,0;17000,898
427,0;16177,952
428,0;15522,393
429,0;14810,821
430,0;14157,049
431,0;13556,548
432,0;12948,502
433,0;12348,836
434,0;11906,464
435,0;11387,366
436,0;10848,181
437,0;10405,693
438,0;9965,580
439,0;9568,781
440,0;9243,011
441,0;8832,909
442,0;8437,778
443,0;8130,752
444,0;7754,058
445,0;7458,272
446,0;7158,246
447,0;6848,923
448,0;6645,596
449,0;6344,113
450,0;6080,936
