Summary
[Software Information]
Software Name:;LabSolutions RF
Version:;1,11
[Data Information]
Data is:;Modified
Sample Name
Sample ID
Option
Analyst
Date/Time:;12/03/2021 14:35:10
Comments
[Instrument Information]
Instrument Name:;RF-6000
Instrument Type:;RF-6000 Series
Model (S/N):;RF-6000 (A40245300193SA)

Parameter
[Measurement]
Spectrum Type:;Emission
EX Wavelength:;280,0 nm
EM Wavelength Start:;285,0 nm
EM Wavelength End:;450,0 nm
Data Interval:;1,0 nm
Scan Speed:;6000 nm/min
[Instrument]
EX Bandwidth:;10,0 nm
EM Bandwidth:;10,0 nm
Sensitivity:;Auto
[Attachment]
Attachment:;None
[Auto Print]
Auto Print:;No
Report File:;

8uM 2.fs2f - CorrectionData
Wavelength nm.;Intensity
285,0;76390,173
286,0;70505,629
287,0;65654,182
288,0;61053,681
289,0;57312,128
290,0;56318,603
291,0;56508,238
292,0;58266,395
293,0;61414,662
294,0;65760,072
295,0;70854,724
296,0;77380,134
297,0;84025,799
298,0;91807,677
299,0;99482,119
300,0;107440,301
301,0;116184,844
302,0;125084,516
303,0;133479,311
304,0;141909,772
305,0;152362,259
306,0;162092,520
307,0;171736,007
308,0;182981,675
309,0;193218,969
310,0;203154,117
311,0;215142,128
312,0;226721,833
313,0;237465,959
314,0;249964,873
315,0;260865,344
316,0;270403,745
317,0;282190,865
318,0;292270,166
319,0;300840,333
320,0;311733,737
321,0;320692,623
322,0;326975,028
323,0;336577,297
324,0;345797,400
325,0;350646,682
326,0;357176,137
327,0;364092,006
328,0;367894,706
329,0;371201,474
330,0;376676,832
331,0;378600,568
332,0;380142,073
333,0;382299,245
334,0;381555,965
335,0;381588,879
336,0;382464,765
337,0;379140,128
338,0;376151,006
339,0;374618,539
340,0;370376,041
341,0;365990,035
342,0;363598,361
343,0;358405,908
344,0;351789,616
345,0;347041,438
346,0;339554,383
347,0;332612,489
348,0;327538,758
349,0;320742,069
350,0;313359,480
351,0;307321,076
352,0;298672,257
353,0;290937,561
354,0;284042,146
355,0;276026,591
356,0;268037,962
357,0;261179,208
358,0;253607,733
359,0;244515,216
360,0;237398,972
361,0;229666,252
362,0;221588,266
363,0;214346,918
364,0;207562,761
365,0;200473,481
366,0;193773,843
367,0;186756,731
368,0;179449,409
369,0;173213,950
370,0;166807,139
371,0;160478,307
372,0;154924,344
373,0;149011,527
374,0;142706,760
375,0;136902,505
376,0;131937,185
377,0;126085,990
378,0;120890,780
379,0;116182,209
380,0;111524,541
381,0;106740,798
382,0;102344,483
383,0;97943,244
384,0;93066,785
385,0;89031,875
386,0;85225,864
387,0;80997,023
388,0;77437,847
389,0;73968,425
390,0;70233,621
391,0;67213,331
392,0;64189,899
393,0;60837,132
394,0;57921,538
395,0;55450,171
396,0;52598,323
397,0;50166,182
398,0;47333,999
399,0;45022,002
400,0;42746,834
401,0;40732,985
402,0;38713,078
403,0;36732,437
404,0;35124,515
405,0;33312,985
406,0;31712,723
407,0;30250,221
408,0;28741,053
409,0;27483,777
410,0;26226,709
411,0;24964,351
412,0;23778,343
413,0;22751,508
414,0;21542,993
415,0;20533,027
416,0;19705,999
417,0;18716,148
418,0;17918,577
419,0;17030,586
420,0;16328,512
421,0;15568,060
422,0;14892,176
423,0;14175,553
424,0;13511,949
425,0;12992,584
426,0;12371,020
427,0;11778,492
428,0;11291,690
429,0;10786,961
430,0;10258,253
431,0;9811,544
432,0;9344,251
433,0;8933,750
434,0;8574,250
435,0;8191,293
436,0;7808,600
437,0;7493,519
438,0;7161,846
439,0;6825,205
440,0;6568,402
441,0;6237,147
442,0;6022,299
443,0;5774,779
444,0;5478,292
445,0;5249,386
446,0;5039,645
447,0;4824,497
448,0;4643,157
449,0;4462,785
450,0;4259,573
