Summary
[Software Information]
Software Name:;LabSolutions RF
Version:;1,11
[Data Information]
Data is:;Modified
Sample Name
Sample ID
Option
Analyst
Date/Time:;12/03/2021 14:19:41
Comments
[Instrument Information]
Instrument Name:;RF-6000
Instrument Type:;RF-6000 Series
Model (S/N):;RF-6000 (A40245300193SA)

Parameter
[Measurement]
Spectrum Type:;Emission
EX Wavelength:;280,0 nm
EM Wavelength Start:;285,0 nm
EM Wavelength End:;450,0 nm
Data Interval:;1,0 nm
Scan Speed:;6000 nm/min
[Instrument]
EX Bandwidth:;10,0 nm
EM Bandwidth:;10,0 nm
Sensitivity:;Auto
[Attachment]
Attachment:;None
[Auto Print]
Auto Print:;No
Report File:;

control 4.fs2f - CorrectionData
Wavelength nm.;Intensity
285,0;188213,654
286,0;174469,728
287,0;163750,298
288,0;153665,642
289,0;144940,065
290,0;142555,689
291,0;142511,862
292,0;146228,485
293,0;153706,730
294,0;162597,030
295,0;173657,028
296,0;187171,944
297,0;200912,787
298,0;216644,719
299,0;232283,029
300,0;247323,072
301,0;264532,736
302,0;280541,045
303,0;296048,924
304,0;311609,919
305,0;330497,151
306,0;348042,591
307,0;364881,272
308,0;384595,524
309,0;402930,424
310,0;420747,166
311,0;442803,785
312,0;462409,801
313,0;481586,793
314,0;504051,541
315,0;523266,082
316,0;538611,326
317,0;560964,373
318,0;578972,036
319,0;593503,867
320,0;612637,090
321,0;628687,313
322,0;639809,004
323,0;655969,247
324,0;672817,674
325,0;681852,882
326,0;692889,395
327,0;705562,198
328,0;712345,459
329,0;718174,313
330,0;727222,078
331,0;730952,669
332,0;733874,602
333,0;737283,781
334,0;735121,253
335,0;734698,012
336,0;736431,485
337,0;729440,136
338,0;724193,276
339,0;721449,795
340,0;712754,768
341,0;704777,871
342,0;700192,972
343,0;689679,743
344,0;676152,405
345,0;668184,444
346,0;654176,404
347,0;639590,647
348,0;630180,084
349,0;617154,104
350,0;602879,034
351,0;590657,385
352,0;574255,471
353,0;558984,040
354,0;546055,713
355,0;530976,222
356,0;515957,052
357,0;502459,261
358,0;487831,352
359,0;470544,532
360,0;456630,496
361,0;442131,085
362,0;426133,332
363,0;412437,424
364,0;399449,739
365,0;385737,366
366,0;372669,266
367,0;359406,287
368,0;345775,496
369,0;333261,526
370,0;320723,947
371,0;308561,200
372,0;297675,591
373,0;286696,425
374,0;274506,605
375,0;263443,613
376,0;253709,645
377,0;242761,069
378,0;232373,901
379,0;223488,586
380,0;214547,441
381,0;205099,285
382,0;196640,531
383,0;188214,177
384,0;179274,208
385,0;171033,552
386,0;163672,779
387,0;155518,771
388,0;148771,782
389,0;141867,746
390,0;135015,123
391,0;128976,293
392,0;123098,932
393,0;116660,198
394,0;111275,849
395,0;106084,009
396,0;100660,283
397,0;95963,274
398,0;90924,274
399,0;85976,991
400,0;81807,272
401,0;77824,918
402,0;73675,726
403,0;70158,057
404,0;66927,267
405,0;63573,000
406,0;60538,949
407,0;57818,425
408,0;54768,978
409,0;52253,457
410,0;50011,432
411,0;47448,826
412,0;45239,884
413,0;42989,851
414,0;40937,033
415,0;39000,701
416,0;37283,276
417,0;35539,057
418,0;33832,878
419,0;32421,409
420,0;30783,930
421,0;29356,084
422,0;28102,835
423,0;26606,160
424,0;25406,007
425,0;24445,905
426,0;23308,096
427,0;22101,224
428,0;21194,888
429,0;20164,921
430,0;19218,039
431,0;18400,354
432,0;17567,669
433,0;16735,794
434,0;16050,388
435,0;15333,143
436,0;14574,125
437,0;13976,914
438,0;13282,216
439,0;12694,947
440,0;12215,909
441,0;11635,521
442,0;11153,065
443,0;10635,551
444,0;10253,203
445,0;9713,092
446,0;9346,862
447,0;8945,017
448,0;8617,791
449,0;8200,565
450,0;7930,699
